"1","1","1995-12-01","4","pyite > slipknot pygmy nug barfly maze otherone soul mrdon",,,,,,"Set two listed only.",,,,,,,,,,,,,"1",NULL,NULL
"2","1","1995-12-02","33","pandd flesh > rlh barfly yem > actob > nug money > sunking > mustard > pam > bathroom > slumbers > weight > theend majesty","possum eduardo antelope > dew > antelope > marylamb",,,,,,,,,,,,,,,,,,"1",,NULL
"3","1","1995-12-11","33","yem 1 rainbow",,,,,,"Incomplete.","With 'Slipknot!' and 'Disco Bisquick' teases.",,,,,,,,,,,,"1",NULL,NULL
"4","1","1995-12-31","279","texas > nug > pygmy > radiatorj",,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"6","1","1996-03-02","279","peaches sobp chicken mrdon redclay stone jam eduardo radiator rainbow",,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"7","1","1996-03-04","174","nug > pygmy > texas > pygmy > radiator > afro > sobp pandd > mrdon",,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"8","1","1996-03-21","380","stone > sobp peaches basis rainbow texas nug pandd",,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"9","1","1996-03-23","33",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"11","1","1996-04-18","248","pandd > barfly mrdon > radiator stone > sobp peaches",,,,,,"Opening for Dr. Ketchup Jazz Hole and others.",,,,,,,,,,,,,"1",NULL,NULL
"12","1","1996-04-19","416",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"13","1","1996-04-20","18",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"14","1","1996-04-25","213",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"15","1","1996-05-25","224","basis alumni trooper peaches > pandd radiator rainbow hood michelle mrdon ape","stone > sobp divsky pygmy",,,,,,,,,,,,,,,,,,"1",NULL,NULL
"16","1","1996-07-04","101","pandd > ape ape radiator nug bandc trooper peaches mrdon",,,,,,,,,,,,,,,,,"analog soundboard<BR>",,"1",NULL,NULL
"17","1","1996-07-05","105","pygmy > trooper barfly basis bandc peaches mrdon stone > waltz",,,,,,,,,,,,,,,,,"analog soundboard<BR>",,"1",,
"18","1","1996-08-07","405","pandd > bisquick > barfly pygmy > rainbow trooper > mrdon stone > waltz basis nug sobp peaches",,,,,,,"Pygmy Twylyte and Basis For A Day were used on Encephalous Crime.",,,,,,,,,,,,"1",NULL,NULL
"19","1","1996-08-14","139",,,,,"actob nug",,,,,,,,,,,,,,,"1",NULL,NULL
"20","1","1996-09-06","250","soul nug rainbow bandc redclay stone dttb ape basis > trooper","rlh bisquick pandd eduardo radiator endo marylamb mrdon",,,,,,,,,,,,,,,,,,"1",NULL,NULL
"21","1","1996-09-12","122","actob bandc eduardo radiator > barfly stone > waltz nug texas peaches mrdon pandd trooper > morph > trooper pygmy rainbow basis",,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"22","1","1996-09-21","213","waltz > trooper > pygmy > rainbow actob bisquick > pandd 1 radiator 1 peaches mrdon 1 bandc > barfly 2 stone 1",,,,"nug",,,"With Elliot Levin on saxophone.","Chorus only.",,,,,,,,,"analog audience<BR>",,"1",NULL,NULL
"23","1","1996-10-21","105","bandc morph 1",,,,,,"Post-Phish show, hosted by the Pharmer's Almanac. Two set show. Setlist incomplete.","First time played.",,,,,,,,,,,,"1",NULL,NULL
"24","1","1996-11-26","405","rainbow mrdon unknown 1 basis",,,,,,"Incomplete","This song was announced as 'Patchcord'. According to reGOP though the band often jokingly announces that as the name of a song when patchcords begin to fail on stage.",,,,,,,,,,,,"1",NULL,NULL
"25","1","1996-12-06","170","epist > morph",,,,,,"Incomplete",,,,,,,,,,,,,"1",NULL,NULL
"26","1","1996-12-14","192","bisquick > pygmy actob nug stone > waltz bandc pandd basis 1","morph vass rainbow barfly mrdon tunisia sobp radiator trooper",,,,,"Fathead opened.","With Tony from Fathead on congas.",,,,,,,,,,"digital soundboard<BR>",,"1",NULL,NULL
"27","1","1996-12-27","227","bandc > sugarplum > mrdon 1 actob mylady dttb morph rainbow vass",,,,,,,"With 'Dance Of The Sugar Plum Fairies' (Tchaikovski) tease.",,,,,,,,,,,,"1",NULL,NULL
"28","1","1996-12-28","213",,,,,,,"The Ominous Seapods opened. Post-Phish show, hosted by the Pharmer's Almanac.",,,,,,,,,,,,,"1",NULL,NULL
"29","1","1997-01-17","33","nug mrdon > trooper bisquick > rainbow basis stone > waltz pandd","shemrah actob bandc mylady morph dttb vass pygmy",,,,,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"30","1","1997-01-30","405","morph > actob > nug > mrdon > shemrah > dttb > nug > actob > morph > pygmy > 13097jam 1 > trooper > soul basis > barfly mylady > waltz > basis morph > actob bandc stone",,,,,,,"First time played.",,,,,,,,,,"AKG 391 Bluelines > ? > Sony D8 > Sony D3 analog deck(patched)",,"1",,"http://www.archive.org/details/db1997-01-30.shnf"
"31","1","1997-02-05","74","pygmy pandd actob > bandc mylady basis morph dttb nug stone > waltz barfly",,,,,,,,,,,,,,,,,"analog (and possible) soundboard<BR>",,"1",NULL,NULL
"32","1","1997-02-06","390","mrdon > radiator > barfly bisquick > mrdon > trooper sobp",,,,,,"Incomplete",,,,,,,,,,,"analog soundboard<BR>",,"1",NULL,NULL
"33","1","1997-02-13","262","stone > waltz > lazer > nug > mrdon vass > actob > shemrah afro > dttb peaches",,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"34","1","1997-02-21","213",,,,,,,"Songs uncertain. Elliot Levin on saxophone.",,,,,,,,,,,,,"1",NULL,NULL
"35","1","1997-02-22","139","mrdon rainbow basis boogiestop nug mylady ape",,,,,,,,,,,,,,,,,"AKG 460+ck61->Battery Box->Sony D5",,"1",,"http://www.archive.org/details/db1997-02-22.akg461.flac16"
"36","1","1997-02-28","250","shemrah mrdon stone > waltz awol sobp radiator actob trooper morph","jamillia boogiestop pandd basis rainbow vass bandc bisquick barfly > rlh",,,"mylady > dttb nug",,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"37","1","1997-03-01","52","pygmy shemrah > boogiestop > shemrah > actob jamillia > nug > vass morph awol soul",,,,,,,,,,,,,,,,,"analog soundboard<BR>",,"1",NULL,NULL
"38","1","1997-03-07","135","mrdon rainbow stone > waltz radiator vass jamillia awol basis",,,,,,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"39","1","1997-03-20","192","nug dttb actob shemrah boogiestop basis mylady barfly morph > pygmy > morph",,,,,,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"40","1","1997-03-21","49","pandd awol morph stone > waltz shemrah > dttb bandc",,,,,,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"41","1","1997-03-22","390","mrdon sobp shemrah actob nug jamillia 1",,,,,,"Opening for Conehead Buddha, setlist incomplete
","tape cuts here, setlist incomplete",,,,,,,,,,"Source: SBD > Master Cass (Maxell XLII) > CDR Master > EAC > FLAC16
Recorded and transferred by: Taperwayne (taperwayne@gmail.com)",,"1",,
"42","1","1997-03-23","308","pygmy pandd boogiestop trooper actob vass morph shemrah mylady bandc stone > waltz basis",,,,,,,,,,,,,,,,,"analog soundboard<BR>",,"1",NULL,NULL
"43","1","1997-03-25","238","morph > radiator awol basis > actob trooper > pygmy > trooper > pygmy > trooper > pygmy > morph","bandc waltz jamillia barfly > lazer shemrah vass ape bisquick > soul > nug stone mrdon",,,,,,,,,,,,,,,,"AKG 460+ck61->Battery Box->Sony D5",,"1",,"http://www.archive.org/details/db1997-03-25.akg461.flac16"
"44","1","1997-03-26","75","awol mrdon actob stone > dttb mylady morph shemrah vass",,,,,,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"45","1","1997-03-27","234","basis > vass > basis > mrdon 1 > bandc rainbow shemrah > dttb 1 stone > texas",,,,,,,"With 'Basis For A Day' tease.",,,,,,,,,,"AKG 460+ck61->Battery Box->Sony D5",,"1",,"http://www.archive.org/details/db1997-03-27.akg461.flac16"
"46","1","1997-03-28","6","soul barfly pandd jamillia nug sobp actob mylady morph",,,,,,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"47","1","1997-03-29","62","pygmy morph mylady rainbow texas > nug > texas > nug sobp trooper > wpost > basis","ape boogiestop actob > vass > actob awol shemrah stone > jamillia",,,,,,,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"48","1","1997-04-10","166",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"49","1","1997-04-11","339",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"50","1","1997-04-12","169","stone awol vass nug basis morph actob",,,,,,"Probably incomplete.",,,,,,,,,,,"SBD > Tascam DA-P1",,"1",,"http://www.archive.org/details/db1997-04-12.flac16"
"51","1","1997-04-19","299","nug actob > shemrah > dttb mylady morph mrdon bandc trooper > iman > trooper rlh > pygmy vass barfly radiator",,,,,,,"The show ended when the police broke up the party.",,,,,,,,,,"Philadelphia, PA<BR> analog audience, AKG 461<BR>",,"1",NULL,NULL
"52","1","1997-04-21","255","jam > nug actob shemrah > dttb mylady",,,,,,,"Maybe the same show as 4/19/97.",,,,,,,,,,,,"1",NULL,NULL
"53","1","1997-04-25","405","morph > dttb mylady bandc vass > actob barfly jamillia",,,,,,"Opening for Merle Saunders",,,,,,,,,,,"analog audience, AKG 461<BR> analog soundboard<BR>",,"1",NULL,NULL
"54","1","1997-04-26","109","mrdon awol pygmy stone rainbow barfly morph",,,,,,"Opening for the JGB Band",,,,,,,,,,,"analog audience, AKG 461<BR>",,"1",NULL,NULL
"55","1","1997-05-09","52",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"56","1","1997-05-10","37","pandd bandc vass rainbow barfly sobp trooper morph actob jamillia mrdon stone > waltz basis","soul nug dttb mylady radiator pygmy shemrah awol chicken",,,"iman",,"Song order for first and encore definite. Second set unsure -- all the songs are there though.",,,,,,,,,,,"videotaped on tripod only<BR>",,"1",NULL,NULL
"57","1","1997-05-13","124","stone > waltz > sobp > iman nug marylamb shemrah mrdon morph dttb bandc > waltz","jam > pandd barfly jamillia basis > actob > basis > vass > actob littlewing eduardo",,,,,,,,,,,,,,,,"AKG 460ck61 -> D5",,"1",,"http://www.archive.org/details/db1997-05-13.akg461.flac16"
"58","1","1997-05-14","371",,,,,,,"Battle of the bands with Fathead and WNOC.",,,,,,,,,,,,,"1",,NULL
"59","1","1997-05-16","258","mrdon shemrah texas dttb rainbow mylady barfly","bandc actob stone > waltz morph iman jamillia basis",,,,,"Virgin Sextet (jazz band featuring Aron some members of Fathead and others) opened.",,,,,,,,,,,,,"1",NULL,NULL
"60","1","1997-05-17","213","mrdon actob morph pygmy shemrah awol jamillia boogiestop vass soul dttb stone > waltz basis",,,,,,"All the songs. Order uncertain.",,,,,,,,,,,,,"1",NULL,NULL
"61","1","1997-05-18","136",,,,,,,"Opening for Colonel Bruce Hampton and Friends",,,,,,,,,,,,,"1",NULL,NULL
"62","1","1997-05-21","238",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"63","1","1997-05-22","208",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"64","1","1997-05-23","318",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"65","1","1997-05-24","308",,,,,,,"Opening for Fatbag",,,,,,,,,,,,,"1",NULL,NULL
"66","1","1997-05-25","247",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"67","1","1997-05-26","309",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"68","1","1997-05-28","220",,,,,,,,,,,,,,,,,,,,"1",NULL,NULL
"69","1","1997-05-29","146",,,,,,,"Opening for the Gibb Droll Band and Moon Boot Lover",,,,,,,,,,,,,"1",NULL,NULL
"70","1","1997-05-30","268",,,,,,,"Opening for Schleigho",,,,,,,,,,,,,"1",NULL,NULL
"71","1","1997-05-31","405","mylady vass > pygmy > rlh > pandd jamillia basis > iman > basis > actob > awol morph",,,,,,"Opening for Percy Hill",,,,,,,,,,,"analog audience, AKG 461<BR> digital soundboard<BR>","90: Jamillia/Morph<BR> CD1: MyLady>end<BR>","1",,"http://www.archive.org/details/db1997-05-31.shnf"
